"","participant","est","lower","upper","session","fix_ef","estimate_adj","estimate_adj_upper","estimate_adj_lower"
"1","1",0.452066605523444,-1.13303620245949,2.0759941667074,"Session 1",-2.69459870814197,0.0959955798612393,0.350098893182335,0.0212975648101091
"2","8",0.00351923020805519,-1.63301625277759,1.60637353717099,"Session 1",-2.69459870814197,0.0635017922656949,0.251952637581139,0.0130270462323663
"3","11",1.7874103011088,0.231115753489078,3.64219545366818,"Session 1",-2.69459870814197,0.287575520513246,0.720631607399809,0.078458140954972
"4","12",-0.729492838382911,-2.55499828420489,0.944826429034314,"Session 1",-2.69459870814197,0.0315509691993944,0.148075922593464,0.00522221887967381
"5","13",-0.377946506338228,-2.05862329607136,1.31477241608014,"Session 1",-2.69459870814197,0.0442540511795435,0.201036899455508,0.00855012911159894
"6","28",-2.18458111983855,-4.84314013301401,-0.276822400454512,"Session 1",-2.69459870814197,0.00754587429239136,0.0487337998207158,0.000532317043377164
"7","31",0.758203184763789,-1.00709042223569,2.56893813223029,"Session 1",-2.69459870814197,0.126044380638698,0.468626129463049,0.0240872829495824
"8","1",-0.217847420618807,-1.94584500913648,1.19141648647844,"Session 5",-0.949531912178221,0.32842598620919,0.91034696396349,0.017491170430392
"9","8",0.118445519363582,-1.40657109892244,1.87293115371888,"Session 5",-0.949531912178221,0.304159726447272,0.926202824064508,0.0181794045423917
"10","11",0.18287151175623,-1.47861587211511,1.89560799112129,"Session 5",-0.949531912178221,0.735118645288628,0.989931973648017,0.100017330522596
"11","12",-0.347756583242475,-2.27979031888596,1.12768182724484,"Session 5",-0.949531912178221,0.116419605093066,0.754540380276491,0.00306597026999318
"12","13",-0.462595292512416,-2.44493816004041,0.920579044140422,"Session 5",-0.949531912178221,0.143063686530521,0.783438763830932,0.00426476901669211
"13","28",-0.492386920985277,-3.2117358113888,1.42539051788555,"Session 5",-0.949531912178221,0.0259194599804718,0.549595430700032,0.000122851934034801
"14","31",1.13356584812884,-0.279005398162485,3.68101254365546,"Session 5",-0.949531912178221,0.719551323802255,0.995035267506715,0.0965964176397378
"15","1",-0.0817521746349054,-1.34258402556522,1.02701855909236,"Session 6",-0.676415430192946,0.424066724886142,0.918833124520336,0.041011142486226
"16","8",0.108110153815396,-0.989948125742439,1.48393603871175,"Session 6",-0.676415430192946,0.362440785831113,0.91788068401618,0.0355924716097306
"17","11",0.263458244742304,-0.948262498947817,2.03962481497776,"Session 6",-0.676415430192946,0.798098668703173,0.993342985113138,0.198839684669325
"18","12",0.0770405407164462,-1.07238880968274,1.53903681179464,"Session 6",-0.676415430192946,0.209346717978448,0.859053136106384,0.0133367880174581
"19","13",-0.0738348718701929,-1.47309098923504,1.11287734607522,"Session 6",-0.676415430192946,0.244494027024753,0.852108419678123,0.0146561631193222
"20","28",-0.374922361392643,-2.76068145948861,1.07744519147197,"Session 6",-0.676415430192946,0.0378361810226214,0.531011980757526,0.0002534128787205
"21","31",0.0728980219730768,-1.27410050102813,1.52194394453631,"Session 6",-0.676415430192946,0.538594518337529,0.968153607399778,0.0493782428138398
